year,lap_length,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature,quali_position,quali_lap_time
2024,5.451,18,109.5929090909091,26.8,1011.6,0,1.2,153,69.0,18.0,11,287.6906
2024,5.451,20,109.43638181818179,26.8,1011.6,0,1.2,153,69.0,18.0,17,205.36520000000002
2024,5.451,2,109.55516363636364,26.8,1011.6,0,1.2,153,69.0,18.0,20,157.69416666666666
2024,5.451,3,115.21293749999998,26.8,1011.6,0,1.2,153,69.0,18.0,12,285.1502
2024,5.451,22,111.06360000000002,26.8,1011.6,0,1.2,153,69.0,18.0,19,144.97512500000002
2024,5.451,77,103.9095,26.8,1011.6,0,1.2,153,69.0,18.0,10,332.7685
2024,5.412,4,95.55280357142854,40.5,1016.6,0,3.1,148,62.0,28.0,5,179.7781052631579
2024,5.412,1,95.77053571428567,40.5,1016.6,0,3.1,148,62.0,28.0,1,198.45499999999998
2024,5.412,16,95.78748214285712,40.5,1016.6,0,3.1,148,62.0,28.0,2,180.59878947368423
2024,5.412,55,95.78658928571429,40.5,1016.6,0,3.1,148,62.0,28.0,3,182.2204210526316
2024,5.412,11,95.82578571428567,40.5,1016.6,0,3.1,148,62.0,28.0,4,210.5885625
2024,5.412,44,95.83101785714284,40.5,1016.6,0,3.1,148,62.0,28.0,8,185.0692105263158
2024,5.412,22,95.98225000000002,40.5,1016.6,0,3.1,148,62.0,28.0,10,175.57789473684207
2024,5.412,63,96.12567857142858,40.5,1016.6,0,3.1,148,62.0,28.0,7,184.61763157894737
2024,5.412,14,96.14212499999998,40.5,1016.6,0,3.1,148,62.0,28.0,15,164.58885714285717
2024,5.412,31,96.17658928571431,40.5,1016.6,0,3.1,148,62.0,28.0,13,173.6902857142857
2024,5.412,27,96.25903571428573,40.5,1016.6,0,3.1,148,62.0,28.0,9,181.59226315789473
2024,5.412,10,96.27637500000002,40.5,1016.6,0,3.1,148,62.0,28.0,12,178.3345384615385
2024,5.412,81,96.4782857142857,40.5,1016.6,0,3.1,148,62.0,28.0,6,197.93605882352944
2024,5.412,24,96.33587500000003,40.5,1016.6,0,3.1,148,62.0,28.0,20,139.54425
2024,5.412,3,96.32439285714284,40.5,1016.6,0,3.1,148,62.0,28.0,18,131.797125
