year,lap_length,position,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature,average_speed,session_encoded,weather_score,is_top_driver
2024,6.174,10,4,149.35176,29.2,1014.0,0,2.3,359,58.0,25.2,0.041338649105976386,0,13.75,0
2024,6.174,10,81,177.04461904761905,29.2,1014.0,0,2.3,359,58.0,25.2,0.03487256508111891,0,13.75,0
2024,6.174,12,24,165.55456521739134,29.2,1014.0,0,2.3,359,58.0,25.2,0.03729284053201952,0,13.75,1
2024,6.174,13,23,148.40484000000004,29.2,1014.0,0,2.3,359,58.0,25.2,0.04160241674058608,0,13.75,1
2024,6.174,14,31,146.16484615384616,29.2,1014.0,0,2.3,359,58.0,25.2,0.04223997878054441,0,13.75,1
2024,6.174,15,2,136.17184615384616,29.2,1014.0,0,2.3,359,58.0,25.2,0.04533976864075597,0,13.75,1
2024,6.174,16,20,210.14341176470583,29.2,1014.0,0,2.3,359,58.0,25.2,0.02937993605487346,0,13.75,1
2024,6.174,17,27,207.28344444444443,29.2,1014.0,0,2.3,359,58.0,25.2,0.02978530203677091,0,13.75,0
2024,6.174,18,77,150.88128,29.2,1014.0,0,2.3,359,58.0,25.2,0.04091958922935967,0,13.75,1
2024,6.174,19,3,151.2027083333333,29.2,1014.0,0,2.3,359,58.0,25.2,0.04083260192925337,0,13.75,1
2024,6.174,1,1,207.627,29.4,1015.0,0,1.2,9,56.0,24.8,0.02973601699200971,5,13.799999999999999,0
2024,6.174,2,16,179.4280476190476,29.4,1015.0,0,1.2,9,56.0,24.8,0.034409336120673394,5,13.799999999999999,0
2024,6.174,3,11,210.81876470588236,29.4,1015.0,0,1.2,9,56.0,24.8,0.029285818122563596,5,13.799999999999999,1
2024,6.174,4,14,242.75143750000004,29.4,1015.0,0,1.2,9,56.0,24.8,0.025433423025558805,5,13.799999999999999,0
2024,6.174,5,81,192.25435,29.4,1015.0,0,1.2,9,56.0,24.8,0.0321137077002419,5,13.799999999999999,0
2024,6.174,6,4,190.841,29.4,1015.0,0,1.2,9,56.0,24.8,0.032351538715475185,5,13.799999999999999,0
2024,6.174,7,63,183.60785,29.4,1015.0,0,1.2,9,56.0,24.8,0.03362601326686195,5,13.799999999999999,0
2024,6.174,8,44,171.03400000000002,29.4,1015.0,0,1.2,9,56.0,24.8,0.036098085760725936,5,13.799999999999999,0
2024,6.174,9,22,210.9900625,29.4,1015.0,0,1.2,9,56.0,24.8,0.029262041666061882,5,13.799999999999999,0
2024,6.174,10,18,215.47094444444448,29.4,1015.0,0,1.2,9,56.0,24.8,0.02865351528447893,5,13.799999999999999,0
2024,6.174,11,38,165.61568749999998,29.4,1015.0,0,1.2,9,56.0,24.8,0.03727907720094451,5,13.799999999999999,0
2024,6.174,12,23,187.06921428571428,29.4,1015.0,0,1.2,9,56.0,24.8,0.0330038270785183,5,13.799999999999999,1
2024,6.174,13,20,179.85860000000002,29.4,1015.0,0,1.2,9,56.0,24.8,0.03432696573864135,5,13.799999999999999,1
2024,6.174,14,3,211.5640909090909,29.4,1015.0,0,1.2,9,56.0,24.8,0.029182646135600433,5,13.799999999999999,1
2024,6.174,15,27,185.141375,29.4,1015.0,0,1.2,9,56.0,24.8,0.03334748918225329,5,13.799999999999999,0
2024,6.174,16,77,124.206125,29.4,1015.0,0,1.2,9,56.0,24.8,0.04970769356181107,5,13.799999999999999,1
2024,6.174,17,31,119.33155555555555,29.4,1015.0,0,1.2,9,56.0,24.8,0.05173820094154103,5,13.799999999999999,1
2024,6.174,18,10,118.86825,29.4,1015.0,0,1.2,9,56.0,24.8,0.05193985778372274,5,13.799999999999999,0
2024,6.174,19,2,126.848125,29.4,1015.0,0,1.2,9,56.0,24.8,0.048672378878284565,5,13.799999999999999,1
2024,6.174,20,24,121.101,29.4,1015.0,0,1.2,9,56.0,24.8,0.050982237966655936,5,13.799999999999999,1
